Year,CO2,CH4,NOx
2128,7443.113333,266.06322,59.32652857
2129,7322.223333,266.06336,59.32652857
2130,7201.333333,266.0635,59.32652857
2131,7107.943333,266.06362,59.32652857
2132,7014.553333,266.06374,59.32652857
2133,6921.163333,266.06386,59.32652857
2134,6827.773333,266.06398,59.32652857
2135,6734.383333,266.0641,59.32652857
2136,6640.993333,266.06422,59.32652857
2137,6547.603333,266.06434,59.32652857
2138,6454.213333,266.06446,59.32652857
2139,6360.823333,266.06458,59.32652857
2140,6267.433333,266.0647,59.32652857
2141,6171.504167,266.06481,59.32652857
2142,6075.575,266.06493,59.32652857
2143,5979.645833,266.06504,59.32652857
2144,5883.716667,266.06515,59.32652857
2145,5787.7875,266.06526,59.32652857
2146,5691.858333,266.06538,59.32652857
2147,5595.929167,266.06549,59.32652857
2148,5500.0,266.0656,59.32652857
2149,5629.8,266.0834,59.32652857
2150,5671.6,266.0918,59.32652857
2151,5694.7,266.101,59.32652857
2152,5700.566667,266.1095,59.32652857
2153,5693.233333,266.12,59.32652857
2154,5676.733333,266.1327,59.32652857
2155,5653.633333,266.1469,59.32652857
2156,5618.8,266.16414,59.32652857
2157,5583.966667,266.18138,59.32652857
2158,5549.133333,266.19862,59.32652857
2159,5514.3,266.21586,59.32652857
2160,5479.466667,266.2331,59.32652857
2161,5438.07,266.25295,59.32652857
2162,5396.673333,266.2728,59.32652857
2163,5355.276667,266.29265,59.32652857
2164,5313.88,266.3125,59.32652857
2165,5272.483333,266.33235,59.32652857
2166,5231.086667,266.3522,59.32652857
2167,5189.69,266.37205,59.32652857
2168,5148.293333,266.3919,59.32652857
2169,5106.896667,266.41175,59.32652857
2170,5065.5,266.4316,59.32652857
2171,5027.733333,266.45171,59.32652857
2172,4989.966667,266.47182,59.32652857
2173,4952.2,266.49193,59.32652857
2174,4914.433333,266.51204,59.32652857
2175,4876.666667,266.53215,59.32652857
2176,4838.9,266.55226,59.32652857
2177,4801.133333,266.57237,59.32652857
2178,4763.366667,266.59248,59.32652857
2179,4725.6,266.61259,59.32652857
2180,4687.833333,266.6327,59.32652857
2181,4655.42,266.65213,59.32652857
2182,4623.006667,266.67156,59.32652857
2183,4590.593333,266.69099,59.32652857
2184,4558.18,266.71042,59.32652857
2185,4525.766667,266.72985,59.32652857
2186,4493.353333,266.74928,59.32652857
2187,4460.94,266.76871,59.32652857
2188,4428.526667,266.78814,59.32652857
2189,4396.113333,266.80757,59.32652857
2190,4363.7,266.827,59.32652857
2191,4336.09,266.84554,59.32652857
2192,4308.48,266.86408,59.32652857
2193,4280.87,266.88262,59.32652857
2194,4253.26,266.90116,59.32652857
2195,4225.65,266.9197,59.32652857
2196,4198.04,266.93824,59.32652857
2197,4170.43,266.95678,59.32652857
2198,4142.82,266.97532,59.32652857
2199,4115.21,266.99386,59.32652857
2200,4087.6,267.0124,59.32652857
2201,4063.986667,267.03006,59.32652857
2202,4040.373333,267.04772,59.32652857
2203,4016.76,267.06538,59.32652857
2204,3993.146667,267.08304,59.32652857
2205,3969.533333,267.1007,59.32652857
2206,3945.92,267.11836,59.32652857
2207,3922.306667,267.13602,59.32652857
2208,3898.693333,267.15368,59.32652857
2209,3875.08,267.17134,59.32652857
2210,3851.466667,267.189,59.32652857
2211,3831.153333,267.2058,59.32652857
2212,3810.84,267.2226,59.32652857
2213,3790.526667,267.2394,59.32652857
2214,3770.213333,267.2562,59.32652857
2215,3749.9,267.273,59.32652857
2216,3729.586667,267.2898,59.32652857
2217,3709.273333,267.3066,59.32652857
2218,3688.96,267.3234,59.32652857
2219,3668.646667,267.3402,59.32652857
2220,3648.333333,267.357,59.32652857
2221,3630.843333,267.373,59.32652857
2222,3613.353333,267.389,59.32652857
2223,3595.863333,267.405,59.32652857
2224,3578.373333,267.421,59.32652857
2225,3560.883333,267.437,59.32652857
2226,3543.393333,267.453,59.32652857
2227,3525.903333,267.469,59.32652857
2228,3508.413333,267.485,59.32652857
2229,3490.923333,267.501,59.32652857
2230,3473.433333,267.517,59.32652857
2231,3458.18,267.53226,59.32652857
2232,3442.926667,267.54752,59.32652857
2233,3427.673333,267.56278,59.32652857
2234,3412.42,267.57804,59.32652857
2235,3397.166667,267.5933,59.32652857
2236,3381.913333,267.60856,59.32652857
2237,3366.66,267.62382,59.32652857
2238,3351.406667,267.63908,59.32652857
2239,3336.153333,267.65434,59.32652857
2240,3320.9,267.6696,59.32652857
2241,3307.553333,267.68419,59.32652857
2242,3294.206667,267.69878,59.32652857
2243,3280.86,267.71337,59.32652857
2244,3267.513333,267.72796,59.32652857
2245,3254.166667,267.74255,59.32652857
2246,3240.82,267.75714,59.32652857
2247,3227.473333,267.77173,59.32652857
2248,3214.126667,267.78632,59.32652857
2249,3200.78,267.80091,59.32652857
2250,3187.433333,267.8155,59.32652857
2251,3175.7,267.82946,59.32652857
2252,3163.966667,267.84342,59.32652857
2253,3152.233333,267.85738,59.32652857
2254,3140.5,267.87134,59.32652857
2255,3128.766667,267.8853,59.32652857
2256,3117.033333,267.89926,59.32652857
2257,3105.3,267.91322,59.32652857
2258,3093.566667,267.92718,59.32652857
2259,3081.833333,267.94114,59.32652857
2260,3070.1,267.9551,59.32652857
2261,3059.65,267.96848,59.32652857
2262,3049.2,267.98186,59.32652857
2263,3038.75,267.99524,59.32652857
2264,3028.3,268.00862,59.32652857
2265,3017.85,268.022,59.32652857
2266,3007.4,268.03538,59.32652857
2267,2996.95,268.04876,59.32652857
2268,2986.5,268.06214,59.32652857
2269,2976.05,268.07552,59.32652857
2270,2965.6,268.0889,59.32652857
2271,2956.396667,268.10174,59.32652857
2272,2947.193333,268.11458,59.32652857
2273,2937.99,268.12742,59.32652857
2274,2928.786667,268.14026,59.32652857
2275,2919.583333,268.1531,59.32652857
2276,2910.38,268.16594,59.32652857
2277,2901.176667,268.17878,59.32652857
2278,2891.973333,268.19162,59.32652857
2279,2882.77,268.20446,59.32652857
2280,2873.566667,268.2173,59.32652857
2281,2865.206667,268.22963,59.32652857
2282,2856.846667,268.24196,59.32652857
2283,2848.486667,268.25429,59.32652857
2284,2840.126667,268.26662,59.32652857
2285,2831.766667,268.27895,59.32652857
2286,2823.406667,268.29128,59.32652857
2287,2815.046667,268.30361,59.32652857
2288,2806.686667,268.31594,59.32652857
2289,2798.326667,268.32827,59.32652857
2290,2789.966667,268.3406,59.32652857
2291,2782.413333,268.35247,59.32652857
2292,2774.86,268.36434,59.32652857
2293,2767.306667,268.37621,59.32652857
2294,2759.753333,268.38808,59.32652857
2295,2752.2,268.39995,59.32652857
2296,2744.646667,268.41182,59.32652857
2297,2737.093333,268.42369,59.32652857
2298,2729.54,268.43556,59.32652857
2299,2721.986667,268.44743,59.32652857
2300,2714.433333,268.4593,59.32652857
2301,2708.618,268.46999,59.32652857
2302,2702.802667,268.48068,59.32652857
2303,2696.987333,268.49136,59.32652857
2304,2691.172,268.50205,59.32652857
2305,2685.356667,268.51274,59.32652857
2306,2679.541333,268.52343,59.32652857
2307,2673.726,268.53412,59.32652857
2308,2667.910667,268.5448,59.32652857
2309,2662.095333,268.55549,59.32652857
2310,2656.28,268.56618,59.32652857
2311,2650.464667,268.57687,59.32652857
2312,2644.649333,268.58756,59.32652857
2313,2638.834,268.59824,59.32652857
2314,2633.018667,268.60893,59.32652857
2315,2627.203333,268.61962,59.32652857
2316,2621.388,268.63031,59.32652857
2317,2615.572667,268.641,59.32652857
2318,2609.757333,268.65168,59.32652857
2319,2603.942,268.66237,59.32652857
2320,2598.126667,268.67306,59.32652857
2321,2592.311333,268.68375,59.32652857
2322,2586.496,268.69444,59.32652857
2323,2580.680667,268.70512,59.32652857
2324,2574.865333,268.71581,59.32652857
2325,2569.05,268.7265,59.32652857
2326,2563.234667,268.73719,59.32652857
2327,2557.419333,268.74788,59.32652857
2328,2551.604,268.75856,59.32652857
2329,2545.788667,268.76925,59.32652857
2330,2539.973333,268.77994,59.32652857
2331,2534.158,268.79063,59.32652857
2332,2528.342667,268.80132,59.32652857
2333,2522.527333,268.812,59.32652857
2334,2516.712,268.82269,59.32652857
2335,2510.896667,268.83338,59.32652857
2336,2505.081333,268.84407,59.32652857
2337,2499.266,268.85476,59.32652857
2338,2493.450667,268.86544,59.32652857
2339,2487.635333,268.87613,59.32652857
2340,2481.82,268.88682,59.32652857
2341,2476.004667,268.89751,59.32652857
